CalPoint Name	Type	Default	Units	Limits Enabled	Overwrite Cal	X Size	Y Size	ID	Description	Owning VI	Adaptable
Dashboard| |NDashRateDividerRotaryMap	TBL1D_SGLControl		|			12		41		MC Control Loop.vi	
FPGA| |VSupplyOffset	SGLControl	0.000000						42		FPGA Calibration.vi	
FPGA|Lap Timing|tLapMin	U32Control	0						43		FPGA Calibration.vi	
FPGA|Steering Sensor|VSteerWheelMiddle	SGLControl	0.000000						44		FPGA Calibration.vi	
FPGA|TPS|rTPS1	SGLIndicator	0.000000						45		Send FPGA Telemetry.vi	
FPGA|TPS|rTPS1Max	SGLControl	0.000000						46		FPGA Calibration.vi	
FPGA|TPS|rTPS1Min	SGLControl	0.000000						47		FPGA Calibration.vi	
FPGA|TPS|rTPS1Unscaled	SGLIndicator	0.000000						48		Send FPGA Telemetry.vi	
FPGA|TPS|rTPS2	SGLIndicator	0.000000						49		Send FPGA Telemetry.vi	
FPGA|TPS|rTPS2Max	SGLControl	0.000000						50		FPGA Calibration.vi	
FPGA|TPS|rTPS2Min	SGLControl	0.000000						51		FPGA Calibration.vi	
FPGA|TPS|rTPS2Unscaled	SGLIndicator	0.000000						52		Send FPGA Telemetry.vi	
FPGA|Wheel Speed|xTyreDiameter	SGLControl	0.530000	m					53		FPGA Calibration.vi	
MC Control|Prefs|NMCCANOffset	U32Control	512						54		MC Control Loop.vi	
MC Control|Prefs|pBrakeFActivation	SGLControl	100.000000	psi					55	Changes the activation brake pressure to allow the motor controller to be enabled.	MC Control Loop.vi	
Shutdown Control|Precharge|tPrecharge	U32Control	7000	msec					56		Shutdown State Machine Loop.vi	
Shutdown Control|RTDS|tRTDS	U32Control	1000	msec					57		Shutdown State Machine Loop.vi	
Telemetry|FPGA|tFPGATelemetryPeriod	U32Control	200						58		Send FPGA Telemetry.vi	
Telemetry|MC|tMCTelemetryPeriod	U32Control	100						59		Send MC Telemetry.vi	
Telemetry|TDMS|tTDMSTelemetryPeriod	U32Control	1000						60		Send FPGA Telemetry.vi	
Torque Control|Throttle Maps|NThrottleMapRotaryMap	TBL1D_SGLControl		NRotary|NThrottleMap	T		12		61		Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap0	TBL1D_SGLControl		%|%	T		41		62	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap1	TBL1D_SGLControl		%|%	T		41		63	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap2	TBL1D_SGLControl		%|%	T		41		64	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap3	TBL1D_SGLControl		%|%	T		41		65	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap4	TBL1D_SGLControl		%|%	T		41		66	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Throttle Maps|rThrottleMap5	TBL1D_SGLControl		%|%	T		41		67	Takes in rTPS and outputs an rTorqueRequest that ranges from -1 to 1.	Percent to Torque Request.vi	
Torque Control|Torque Maps|NTorqueMapRotaryMap	TBL1D_SGLControl		NRotary|NThrottleMap	T		12		68		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap0	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	69		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap1	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	70		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap2	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	71		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap3	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	72		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap4	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	73		Percent to Torque Request.vi	
Torque Control|Torque Maps|rTorqueMap5	TBL2D_SGLControl		nMotor|rTorqueRequest|MTorqueRequest			25	41	74		Percent to Torque Request.vi	
