CalPoint Name	Type	Default	Units	Limits Enabled	Overwrite Cal	X Size	Y Size	ID	Description	Owning VI	Adaptable
ATLAS|Session Information|CCarName	STRControl					20		41	Max size=20	TDMS Init.vi	
ATLAS|Session Information|CCircuit	STRControl					40		42		TDMS Init.vi	
ATLAS|Session Information|CDriverName	STRControl					20		43	Max size=20	TDMS Init.vi	
ATLAS|Session Information|CExtraNotes	STRControl					300		44	Max Size=300	TDMS Init.vi	
ATLAS|Session Information|CSessionDescription	STRControl					40		45	Brief description, max length = 40 char.	TDMS Init.vi	
Dashboard| |NDashRateDividerRotaryMap	TBL1D_SGLControl		|			12		46		MC Control Loop.vi	
Dashboard|Page Timing|tLapTriggerOverride	U32Control	3500	ms					47		SendDashCAN.vi	
FPGA| |VSupplyOffset	SGLControl	8.890620	V					48		FPGA Calibration.vi	
FPGA|Lap Timing|bResetFastestLap	BOOLControl	F	|					49		FPGA Calibration.vi	
FPGA|Lap Timing|bResetNLap	BOOLControl	F	|					50		FPGA Calibration.vi	
FPGA|Lap Timing|tLapMin	U32Control	0	ms					51		FPGA Calibration.vi	
FPGA|Lap Timing|tLapReference	U32Control	35000	ms					52		FPGA Calibration.vi	
FPGA|Steering Sensor|VSteerWheelMiddle	SGLControl	2.500000	V					53		FPGA Calibration.vi	
FPGA|TPS|rTPS1	SGLIndicator	0.000000						54		Send FPGA Telemetry.vi	
FPGA|TPS|rTPS1Max	SGLControl	0.620117	%					55		FPGA Calibration.vi	
FPGA|TPS|rTPS1Min	SGLControl	0.410156	%					56		FPGA Calibration.vi	
FPGA|TPS|rTPS1Unscaled	SGLIndicator	0.000000						57		Send FPGA Telemetry.vi	
FPGA|TPS|rTPS2	SGLIndicator	0.000000						58		Send FPGA Telemetry.vi	
FPGA|TPS|rTPS2Max	SGLControl	0.270020	%					59		FPGA Calibration.vi	
FPGA|TPS|rTPS2Min	SGLControl	0.489990	%					60		FPGA Calibration.vi	
FPGA|TPS|rTPS2Unscaled	SGLIndicator	0.000000						61		Send FPGA Telemetry.vi	
FPGA|Wheel Speed|bWheelFLFail	BOOLControl	F	|					62		FPGA Calibration.vi	
FPGA|Wheel Speed|bWheelFRFail	BOOLControl	F	|					63		FPGA Calibration.vi	
FPGA|Wheel Speed|xTyreDiameter	SGLControl	0.530000	m					64		FPGA Calibration.vi	
Lap Statistics| |bResetLapStatistics	BOOLControl	F	|					65		Lap Statistics.vi	
Lap Statistics|Brakes|pBrakeFBrakeBalThresh	SGLControl	400.000000	psi					66		Lap Statistics.vi	
MC Control|Prefs|NMCCANOffset	U32Control	512						67		MC Control Loop.vi	
MC Control|Prefs|pBrakeFActivation	SGLControl	100.000000	psi					68	Changes the activation brake pressure to allow the motor controller to be enabled.	MC Control Loop.vi	
Shutdown Control|Precharge|tPrecharge	U32Control	7000	ms					69		Shutdown State Machine Loop.vi	
Shutdown Control|RTDS|tRTDS	U32Control	1000	ms					70		Shutdown State Machine Loop.vi	
Telemetry|FPGA|tFPGATelemetryPeriod	U32Control	200	ms					71		Send FPGA Telemetry.vi	
